trial_id,gesture_label,gesture_name,repeat_index,stage,sample_index,sample_time_s,raw_ch0,raw_ch1,raw_ch2,raw_ch3,raw_ch4,raw_ch5,raw_ch6,raw_ch7,filtered_ch0,filtered_ch1,filtered_ch2,filtered_ch3,filtered_ch4,filtered_ch5,filtered_ch6,filtered_ch7,activity
power_01,1,POWER,1,countdown,0,0.001610,-35794.66500000,-27804.73500000,-51824.92500000,-30077.23500000,-40672.03500000,-45933.97500000,4677.79500000,-11378.97000000,-11029.95994492,-8567.90008592,-15969.61018908,-9268.16041731,-12532.89888112,-14154.34127854,1441.44082590,-3506.37681103,9558.83605423
power_01,1,POWER,1,countdown,1,0.003610,-35796.69000000,-27814.14000000,-51849.18000000,-30103.38000000,-40702.36500000,-45968.71500000,4684.00500000,-11376.45000000,-21594.92305954,-16777.01131695,-31272.55028534,-18153.12941039,-24546.07763656,-27721.87347503,2823.94597762,-6863.95823888,18719.18367504
power_01,1,POWER,1,countdown,2,0.005610,-35795.25000000,-27818.64000000,-51869.65500000,-30123.67500000,-40728.15000000,-45997.51500000,4688.95500000,-11369.74500000,-2824.84998169,-2200.75546328,-4109.74459603,-2395.01375704,-3235.12234088,-3653.86027133,374.33313256,-894.17397190,2460.98168934
power_01,1,POWER,1,countdown,3,0.007610,-35796.51000000,-27819.27000000,-51871.90500000,-30126.82500000,-40732.74000000,-46000.89000000,4686.43500000,-11371.05000000,10664.81229782,8280.35907615,15425.51156008,8945.79077499,12098.26897281,13664.19382105,-1390.98023999,3394.03769565,9232.99430482
power_01,1,POWER,1,countdown,4,0.009610,-35798.44500000,-27816.39000000,-51859.44000000,-30115.03500000,-40718.29500000,-45983.56500000,4683.10500000,-11374.87500000,7051.57894924,5481.00722102,10218.57408596,5933.69878924,8021.83564366,9061.23269809,-925.61913307,2239.68215728,6116.65358469
power_01,1,POWER,1,countdown,5,0.011610,-35793.27000000,-27806.13000000,-51834.87000000,-30090.82500000,-40690.44000000,-45951.12000000,4679.28000000,-11374.11000000,13277.07409061,10321.23479282,19248.43174306,11181.61804615,15116.45920627,17073.20622885,-1741.14875516,4215.96112452,11521.89174843
power_01,1,POWER,1,countdown,6,0.013610,-35795.07000000,-27800.68500000,-51814.53000000,-30068.91000000,-40663.93500000,-45920.74500000,4674.82500000,-11378.52000000,11267.35475851,8762.43180895,16344.37810163,9501.82258293,12842.74871284,14504.66668113,-1478.50976150,3577.74197046,9784.95679725
power_01,1,POWER,1,countdown,7,0.015610,-35793.36000000,-27792.31500000,-51792.25500000,-30045.60000000,-40636.35000000,-45890.28000000,4670.19000000,-11379.01500000,8399.87247782,6534.85398432,12193.57071829,7092.69700974,9585.95041036,10825.63951469,-1104.34782030,2665.40032332,7300.29153235
power_01,1,POWER,1,countdown,8,0.017610,-35793.49500000,-27793.71000000,-51792.57000000,-30044.88000000,-40633.56000000,-45889.15500000,4670.82000000,-11378.29500000,9104.96809236,7077.74084369,13200.41407950,7670.66349688,10370.78839221,11710.35201237,-1193.08985959,2892.25772987,7902.53431331
power_01,1,POWER,1,countdown,9,0.019610,-35796.73500000,-27800.91000000,-51808.23000000,-30060.85500000,-40651.51500000,-45910.21500000,4673.74500000,-11378.11500000,4243.46032981,3292.89443008,6136.94655518,3559.85585809,4816.62209051,5437.03285229,-552.28716277,1350.25033736,3673.66870201
